"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"David Nalbandian",18,"ARG","Raemon Sluiter",,"NED","62 62 75","Round of 128",2005,"Argentina","Netherlands",,
"Guillermo Garcia-Lopez",,"ESP","David Ferrer",17,"ESP","63 62 767","Round of 128",2005,"Spain","Spain",,
"Lars Burgsmuller",,"GER","Mariano Puerta",16,"ARG","61 61 64","Round of 128",2005,"Germany","Argentina",,
"Guillermo Coria",15,"ARG","Tomas Behrend",,"GER","61 62 62","Round of 128",2005,"Argentina","Germany",,
"Radek Stepanek",14,"CZE","Robby Ginepri",,"USA","675 63 64 62","Round of 128",2005,"Czech Republic","United States",,
"Fernando Verdasco",,"ESP","Tommy Robredo",13,"ESP","61 62 75","Round of 128",2005,"Spain","Spain",,
"Thomas Johansson",12,"SWE","Bohdan Ulihrach",,"CZE","63 62 62","Round of 128",2005,"Sweden","Czech Republic",,
"Joachim Johansson",11,"SWE","Albert Montanes",,"ESP","765 64 75","Round of 128",2005,"Sweden","Spain",,
"Mario Ancic",10,"CRO","Tobias Summerer",,"GER","63 75 61","Round of 128",2005,"Croatia","Germany",,"qualifier"
"Sebastien Grosjean",9,"FRA","Michael Llodra",,"FRA","36 75 46 765 64","Round of 128",2005,"France","France",,
"Nikolay Davydenko",8,"RUS","Scott Draper",,"AUS","764 64 63","Round of 128",2005,"Russia","Australia",,
"Tim Henman",6,"GBR","Jarkko Nieminen",,"FIN","36 675 64 75 62","Round of 128",2005,"Great Britain","Finland",,
"Marat Safin",5,"RUS","Paradorn Srichaphan",,"THA","62 64 64","Round of 128",2005,"Russia","Thailand",,
"Rafael Nadal",4,"ESP","Vincent Spadea",,"USA","64 63 60","Round of 128",2005,"Spain","United States",,
"Lleyton Hewitt",3,"AUS","Christophe Rochus",,"BEL","63 63 61","Round of 128",2005,"Australia","Belgium",,
"Andy Roddick",2,"USA","Jiri Vanek",,"CZE","61 764 62","Round of 128",2005,"United States","Czech Republic",,
"Roger Federer",1,"SUI","Paul-Henri Mathieu",,"FRA","64 62 64","Round of 128",2005,"Switzerland","France",,
"Janko Tipsarevic",,"SRB","Yen-Hsun Lu",,"TPE","26 63 62 46 75","Round of 64",2005,"Serbia","Chinese Taipei",,"qualifier"
"Alexander Popp",,"GER","Wayne Arthurs",,"AUS","63 674 36 764 1412","Round of 64",2005,"Germany","Australia",,
"Jurgen Melzer",,"AUT","Alex Calatrava",,"ESP","64 64 61","Round of 64",2005,"Austria","Spain",,
