"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Novak Djokovic",1,"SRB","Bobby Reynolds",,"USA","762 63 61","Round of 64",2013,"Serbia","United States",,"qualifier"
"Fernando Verdasco",,"ESP","Ernests Gulbis",,"LAT","62 64 64","Round of 32",2013,"Spain","Latvia",,
"Jurgen Melzer",,"AUT","Sergiy Stakhovsky",,"UKR","62 26 75 63","Round of 32",2013,"Austria","Ukraine",,
"Adrian Mannarino",,"FRA","Dustin Brown",,"GER","64 62 75","Round of 32",2013,"France","Germany",,"qualifier"
"Ivan Dodig",,"CRO","Igor Sijsling",,"NED","60 61 10 (RET)","Round of 32",2013,"Croatia","Netherlands",,
"Lukasz Kubot",,"POL","Benoit Paire",25,"FRA","61 63 64","Round of 32",2013,"Poland","France",,
"Kenny De Schepper",,"FRA","Juan Monaco",22,"ARG","64 768 64","Round of 32",2013,"France","Argentina",,
"Mikhail Youzhny",20,"RUS","Viktor Troicki",,"SRB","63 64 75","Round of 32",2013,"Russia","Serbia",,
"Jerzy Janowicz",24,"POL","Nicolas Almagro",15,"ESP","766 63 64","Round of 32",2013,"Poland","Spain",,
"Tommy Haas",13,"GER","Feliciano Lopez",,"ESP","46 62 75 64","Round of 32",2013,"Germany","Spain",,
"Andreas Seppi",23,"ITA","Kei Nishikori",12,"JPN","36 62 674 61 64","Round of 32",2013,"Italy","Japan",,
"Bernard Tomic",,"AUS","Richard Gasquet",9,"FRA","767 57 75 765","Round of 32",2013,"Australia","France",,
"Juan Martin Del Potro",8,"ARG","Grega Zemlja",,"SLO","75 763 60","Round of 32",2013,"Argentina","Slovenia",,
"Tomas Berdych",7,"CZE","Kevin Anderson",27,"RSA","36 63 64 75","Round of 32",2013,"Czech Republic","South Africa",,
"David Ferrer",4,"ESP","Alexandr Dolgopolov",26,"UKR","676 762 26 61 62","Round of 32",2013,"Spain","Ukraine",,
"Andy Murray",2,"GBR","Tommy Robredo",32,"ESP","62 64 75","Round of 32",2013,"Great Britain","Spain",,
"Novak Djokovic",1,"SRB","Jeremy Chardy",28,"FRA","63 62 62","Round of 32",2013,"Serbia","France",,
"Fernando Verdasco",,"ESP","Kenny De Schepper",,"FRA","64 64 64","Round of 16",2013,"Spain","France",,
"Lukasz Kubot",,"POL","Adrian Mannarino",,"FRA","46 63 36 63 64","Round of 16",2013,"Poland","France",,
"Jerzy Janowicz",24,"POL","Jurgen Melzer",,"AUT","36 761 64 46 64","Round of 16",2013,"Poland","Austria",,
"Juan Martin Del Potro",8,"ARG","Andreas Seppi",23,"ITA","64 762 63","Round of 16",2013,"Argentina","Italy",,
"Tomas Berdych",7,"CZE","Bernard Tomic",,"AUS","764 675 64 64","Round of 16",2013,"Czech Republic","Australia",,
"David Ferrer",4,"ESP","Ivan Dodig",,"CRO","673 766 61 61","Round of 16",2013,"Spain","Croatia",,
"Andy Murray",2,"GBR","Mikhail Youzhny",20,"RUS","64 765 61","Round of 16",2013,"Great Britain","Russia",,
"Novak Djokovic",1,"SRB","Tommy Haas",13,"GER","61 64 764","Round of 16",2013,"Serbia","Germany",,
"Jerzy Janowicz",24,"POL","Lukasz Kubot",,"POL","75 64 64","Quarter-Finals",2013,"Poland","Poland",,
"Juan Martin Del Potro",8,"ARG","David Ferrer",4,"ESP","62 64 765","Quarter-Finals",2013,"Argentina","Spain",,
"Andy Murray",2,"GBR","Fernando Verdasco",,"ESP","46 36 61 64 75","Quarter-Finals",2013,"Great Britain","Spain",,
"Novak Djokovic",1,"SRB","Tomas Berdych",7,"CZE","765 64 63","Quarter-Finals",2013,"Serbia","Czech Republic",,
"Andy Murray",2,"GBR","Jerzy Janowicz",24,"POL","672 64 64 63","Semi-Finals",2013,"Great Britain","Poland",,
"Novak Djokovic",1,"SRB","Juan Martin Del Potro",8,"ARG","75 46 762 676 63","Semi-Finals",2013,"Serbia","Argentina",,
"Andy Murray",2,"GBR","Novak Djokovic",1,"SRB","64 75 64","Finals",2013,"Great Britain","Serbia",,
"Grega Zemlja",,"SLO","Josh Goodall",,"GBR","64 36 763 64","Round of 128",2012,"Slovenia","Great Britain","wildcard","wildcard"
"James Ward",,"GBR","Pablo Andujar",,"ESP","46 60 36 63 63","Round of 128",2012,"Great Britain","Spain","wildcard",
"Ryan Sweeting",,"USA","Potito Starace",,"ITA","62 20 (RET)","Round of 128",2012,"United States","Italy","qualifier",
"Go Soeda",,"JPN","Igor Kunitsyn",,"RUS","63 62 61","Round of 128",2012,"Japan","Russia",,
"Florent Serra",,"FRA","Andrey Kuznetsov",,"RUS","36 763 64 46 64","Round of 128",2012,"France","Russia","qualifier","qualifier"
"Michael Russell",,"USA","Adrian Menendez-Maceiras",,"ESP","63 61 767","Round of 128",2012,"United States","Spain","qualifier","qualifier"
"Guillaume Rufin",,"FRA","Steve Darcis",,"BEL","64 36 57 64 64","Round of 128",2012,"France","Belgium","qualifier",
"Lukas Rosol",,"CZE","Ivan Dodig",,"CRO","64 36 76 75","Round of 128",2012,"Czech Republic","Croatia",,
"Sam Querrey",,"USA","Vasek Pospisil",,"CAN","75 675 63 64","Round of 128",2012,"United States","Canada",,
"Bjorn Phau",,"GER","Wayne Odesnik",,"USA","63 36 673 63 64","Round of 128",2012,"Germany","United States",,"lucky loser"
"Philipp Petzschner",,"GER","Blaz Kavcic",,"SLO","64 64 62","Round of 128",2012,"Germany","Slovenia",,
"Benoit Paire",,"FRA","Matthew Ebden",,"AUS","61 63 671 63","Round of 128",2012,"France","Australia",,
"Xavier Malisse",,"BEL","Marinko Matosevic",,"AUS","62 62 75","Round of 128",2012,"Belgium","Australia",,
"Nicolas Mahut",,"FRA","Paolo Lorenzi",,"ITA","63 57 673 75 62","Round of 128",2012,"France","Italy",,
"Jesse Levine",,"CAN","Karol Beck",,"SVK","64 676 63 62","Round of 128",2012,"Canada","Slovakia","qualifier",
"Lukas Lacko",,"SVK","Adrian Ungur",,"ROU","764 61 63","Round of 128",2012,"Slovakia","Romania",,
"Lukasz Kubot",,"POL","Tatsuma Ito",,"JPN","766 63 63","Round of 128",2012,"Poland","Japan",,
"Martin Klizan",,"SVK","Juan Ignacio Chela",,"ARG","75 36 766 16 119","Round of 128",2012,"Slovakia","Argentina",,
"Ivo Karlovic",,"CRO","Dudi Sela",,"ISR","64 64 765","Round of 128",2012,"Croatia","Israel",,
"Malek Jaziri",,"TUN","Jurgen Zopp",,"EST","46 46 63 64 97","Round of 128",2012,"Tunisia","Estonia",,"qualifier"
"Jerzy Janowicz",,"POL","Simone Bolelli",,"ITA","36 63 63 63","Round of 128",2012,"Poland","Italy","qualifier","qualifier"
"Ryan Harrison",,"USA","Yen-Hsun Lu",,"TPE","46 63 64 62","Round of 128",2012,"United States","Chinese Taipei",,
"Guillermo Garcia-Lopez",,"ESP","Edouard Roger-Vasselin",,"FRA","672 63 764 57 108","Round of 128",2012,"Spain","France",,
"Fabio Fognini",,"ITA","Michael Llodra",,"FRA","36 63 64 75","Round of 128",2012,"Italy","France",,
"Kenny De Schepper",,"FRA","Matthias Bachinger",,"GER","64 62 62","Round of 128",2012,"France","Germany","qualifier",
"Jeremy Chardy",,"FRA","Filippo Volandri",,"ITA","60 61 10 (RET)","Round of 128",2012,"France","Italy",,
"Inigo Cervantes",,"ESP","Flavio Cipolla",,"ITA","26 674 63 62 61","Round of 128",2012,"Spain","Italy","qualifier",
"Ruben Bemelmans",,"BEL","Carlos Berlocq",,"ARG","75 674 63 762","Round of 128",2012,"Belgium","Argentina","qualifier",
"Benjamin Becker",,"GER","James Blake",,"USA","674 75 60 64","Round of 128",2012,"Germany","United States",,
"Brian Baker",,"USA","Rui Machado",,"POR","762 64 60","Round of 128",2012,"United States","Portugal","qualifier",
"Marcos Baghdatis",,"CYP","Albert Montanes",,"ESP","62 64 64","Round of 128",2012,"Cyprus","Spain",,
"Igor Andreev",,"RUS","Oliver Golding",,"GBR","16 764 767 75","Round of 128",2012,"Russia","Great Britain",,"wildcard"
"Grigor Dimitrov",,"BUL","Kevin Anderson",32,"RSA","75 763 674 63","Round of 128",2012,"Bulgaria","South Africa",,
"Florian Mayer",31,"GER","Dmitry Tursunov",,"RUS","763 62 63","Round of 128",2012,"Germany","Russia",,
"Andy Roddick",30,"USA","Jamie Baker",,"GBR","761 64 75","Round of 128",2012,"United States","Great Britain",,"wildcard"
"Julien Benneteau",29,"FRA","Gilles Muller",,"LUX","62 75 764","Round of 128",2012,"France","Luxembourg",,
"Radek Stepanek",28,"CZE","Sergiy Stakhovsky",,"UKR","61 10 (RET)","Round of 128",2012,"Czech Republic","Ukraine",,
"Philipp Kohlschreiber",27,"GER","Tommy Haas",,"GER","36 768 675 761 62","Round of 128",2012,"Germany","Germany",,"wildcard"
"Mikhail Youzhny",26,"RUS","Donald Young",,"USA","46 63 62 63","Round of 128",2012,"Russia","United States",,
"Jurgen Melzer",,"AUT","Stan Wawrinka",25,"SUI","36 762 26 64 86","Round of 128",2012,"Austria","Switzerland",,
"Viktor Troicki",,"SRB","Marcel Granollers",24,"ESP","75 765 36 26 86","Round of 128",2012,"Serbia","Spain",,
"Denis Istomin",,"UZB","Andreas Seppi",23,"ITA","672 64 36 63 86","Round of 128",2012,"Uzbekistan","Italy",,
"Alexandr Dolgopolov",22,"UKR","Alex Bogomolov Jr.",,"RUS","63 64 75","Round of 128",2012,"Ukraine","Russia",,
"Milos Raonic",21,"CAN","Santiago Giraldo",,"COL","64 64 64","Round of 128",2012,"Canada","Colombia",,
"David Goffin",,"BEL","Bernard Tomic",20,"AUS","36 63 64 64","Round of 128",2012,"Belgium","Australia","wildcard",
"Kei Nishikori",19,"JPN","Mikhail Kukushkin",,"KAZ","75 63 64","Round of 128",2012,"Japan","Kazakhstan",,
"Richard Gasquet",18,"FRA","Tobias Kamke",,"GER","62 62 62","Round of 128",2012,"France","Germany",,
"Fernando Verdasco",17,"ESP","Jimmy Wang",,"TPE","763 64 75","Round of 128",2012,"Spain","Chinese Taipei",,"qualifier"
"Marin Cilic",16,"CRO","Cedrik-Marcel Stebe",,"GER","64 36 63 62","Round of 128",2012,"Croatia","Germany",,
"Juan Monaco",15,"ARG","Leonardo Mayer",,"ARG","64 765 765","Round of 128",2012,"Argentina","Argentina",,
"Jarkko Nieminen",,"FIN","Feliciano Lopez",14,"ESP","764 36 765 64","Round of 128",2012,"Finland","Spain",,
"Gilles Simon",13,"FRA","Paul-Henri Mathieu",,"FRA","63 54 (RET)","Round of 128",2012,"France","France",,
"Nicolas Almagro",12,"ESP","Olivier Rochus",,"BEL","674 36 764 62 64","Round of 128",2012,"Spain","Belgium",,
"Alejandro Falla",,"COL","John Isner",11,"USA","64 677 36 767 75","Round of 128",2012,"Colombia","United States",,
"Mardy Fish",10,"USA","Ruben Ramirez Hidalgo",,"ESP","763 75 761","Round of 128",2012,"United States","Spain",,
"Juan Martin Del Potro",9,"ARG","Robin Haase",,"NED","64 36 763 75","Round of 128",2012,"Argentina","Netherlands",,
"Janko Tipsarevic",8,"SRB","David Nalbandian",,"ARG","64 764 62","Round of 128",2012,"Serbia","Argentina",,
"David Ferrer",7,"ESP","Dustin Brown",,"GER","765 64 64","Round of 128",2012,"Spain","Germany",,"qualifier"
"Ernests Gulbis",,"LAT","Tomas Berdych",6,"CZE","765 764 764","Round of 128",2012,"Latvia","Czech Republic",,
"Jo-Wilfried Tsonga",5,"FRA","Lleyton Hewitt",,"AUS","63 64 64","Round of 128",2012,"France","Australia",,"wildcard"
"Andy Murray",4,"GBR","Nikolay Davydenko",,"RUS","61 61 64","Round of 128",2012,"Great Britain","Russia",,
"Roger Federer",3,"SUI","Albert Ramos-Vinolas",,"ESP","61 61 61","Round of 128",2012,"Switzerland","Spain",,
"Rafael Nadal",2,"ESP","Thomaz Bellucci",,"BRA","760 62 63","Round of 128",2012,"Spain","Brazil",,
"Novak Djokovic",1,"SRB","Juan Carlos Ferrero",,"ESP","63 63 61","Round of 128",2012,"Serbia","Spain",,
"Viktor Troicki",,"SRB","Martin Klizan",,"SVK","64 46 57 763 64","Round of 64",2012,"Serbia","Slovakia",,
"Lukas Lacko",,"SVK","Jurgen Melzer",,"AUT","64 674 36 63 64","Round of 64",2012,"Slovakia","Austria",,
"Jerzy Janowicz",,"POL","Ernests Gulbis",,"LAT","26 64 36 762 97","Round of 64",2012,"Poland","Latvia","qualifier",
"Denis Istomin",,"UZB","Igor Andreev",,"RUS","63 763 46 62","Round of 64",2012,"Uzbekistan","Russia",,
"David Goffin",,"BEL","Jesse Levine",,"CAN","46 64 61 63","Round of 64",2012,"Belgium","Canada","wildcard","qualifier"
"Alejandro Falla",,"COL","Nicolas Mahut",,"FRA","64 63 46 46 75","Round of 64",2012,"Colombia","France",,
"Brian Baker",,"USA","Jarkko Nieminen",,"FIN","60 62 64","Round of 64",2012,"United States","Finland","qualifier",
"Marcos Baghdatis",,"CYP","Grigor Dimitrov",,"BUL","75 41 (RET)","Round of 64",2012,"Cyprus","Bulgaria",,
"Florian Mayer",31,"GER","Philipp Petzschner",,"GER","36 36 64 62 64","Round of 64",2012,"Germany","Germany",,
"Andy Roddick",30,"USA","Bjorn Phau",,"GER","63 761 63","Round of 64",2012,"United States","Germany",,
"Julien Benneteau",29,"FRA","Michael Russell",,"USA","764 26 64 75","Round of 64",2012,"France","United States",,"qualifier"
"Radek Stepanek",28,"CZE","Benjamin Becker",,"GER","62 764 63","Round of 64",2012,"Czech Republic","Germany",,
"Philipp Kohlschreiber",27,"GER","Malek Jaziri",,"TUN","61 762 61","Round of 64",2012,"Germany","Tunisia",,
"Mikhail Youzhny",26,"RUS","Inigo Cervantes",,"ESP","61 63 64","Round of 64",2012,"Russia","Spain",,"qualifier"
"Benoit Paire",,"FRA","Alexandr Dolgopolov",22,"UKR","762 64 64","Round of 64",2012,"France","Ukraine",,
"Sam Querrey",,"USA","Milos Raonic",21,"CAN","673 767 768 64","Round of 64",2012,"United States","Canada",,
"Kei Nishikori",19,"JPN","Florent Serra",,"FRA","63 75 62","Round of 64",2012,"Japan","France",,"qualifier"
"Richard Gasquet",18,"FRA","Ruben Bemelmans",,"BEL","63 64 64","Round of 64",2012,"France","Belgium",,"qualifier"
"Fernando Verdasco",17,"ESP","Grega Zemlja",,"SLO","764 764 36 63","Round of 64",2012,"Spain","Slovenia",,"wildcard"
"Marin Cilic",16,"CRO","Lukasz Kubot",,"POL","764 62 61","Round of 64",2012,"Croatia","Poland",,
"Juan Monaco",15,"ARG","Jeremy Chardy",,"FRA","62 36 63 763","Round of 64",2012,"Argentina","France",,
"Xavier Malisse",,"BEL","Gilles Simon",13,"FRA","64 64 765","Round of 64",2012,"Belgium","France",,
"Nicolas Almagro",12,"ESP","Guillaume Rufin",,"FRA","62 57 62 64","Round of 64",2012,"Spain","France",,"qualifier"
"Mardy Fish",10,"USA","James Ward",,"GBR","63 57 64 673 63","Round of 64",2012,"United States","Great Britain",,"wildcard"
"Juan Martin Del Potro",9,"ARG","Go Soeda",,"JPN","62 63 16 64","Round of 64",2012,"Argentina","Japan",,
"Janko Tipsarevic",8,"SRB","Ryan Sweeting",,"USA","57 75 64 62","Round of 64",2012,"Serbia","United States",,"qualifier"
"David Ferrer",7,"ESP","Kenny De Schepper",,"FRA","761 62 64","Round of 64",2012,"Spain","France",,"qualifier"
"Jo-Wilfried Tsonga",5,"FRA","Guillermo Garcia-Lopez",,"ESP","673 64 61 63","Round of 64",2012,"France","Spain",,
"Andy Murray",4,"GBR","Ivo Karlovic",,"CRO","75 675 62 764","Round of 64",2012,"Great Britain","Croatia",,
"Roger Federer",3,"SUI","Fabio Fognini",,"ITA","61 63 62","Round of 64",2012,"Switzerland","Italy",,
"Lukas Rosol",,"CZE","Rafael Nadal",2,"ESP","679 64 64 26 64","Round of 64",2012,"Czech Republic","Spain",,
"Novak Djokovic",1,"SRB","Ryan Harrison",,"USA","64 64 64","Round of 64",2012,"Serbia","United States",,
"Denis Istomin",,"UZB","Alejandro Falla",,"COL","63 64 36 765","Round of 32",2012,"Uzbekistan","Colombia",,
"Brian Baker",,"USA","Benoit Paire",,"FRA","64 46 61 63","Round of 32",2012,"United States","France","qualifier",
"Florian Mayer",31,"GER","Jerzy Janowicz",,"POL","765 36 26 63 75","Round of 32",2012,"Germany","Poland",,"qualifier"
"Philipp Kohlschreiber",27,"GER","Lukas Rosol",,"CZE","62 63 766","Round of 32",2012,"Germany","Czech Republic",,
"Xavier Malisse",,"BEL","Fernando Verdasco",17,"ESP","16 765 61 46 63","Round of 32",2012,"Belgium","Spain",,
"Marin Cilic",16,"CRO","Sam Querrey",,"USA","766 64 672 673 1715","Round of 32",2012,"Croatia","United States",,
"Viktor Troicki",,"SRB","Juan Monaco",15,"ARG","75 75 63","Round of 32",2012,"Serbia","Argentina",,
"Richard Gasquet",18,"FRA","Nicolas Almagro",12,"ESP","63 64 64","Round of 32",2012,"France","Spain",,
"Mardy Fish",10,"USA","David Goffin",,"BEL","63 766 766","Round of 32",2012,"United States","Belgium",,"wildcard"
"Juan Martin Del Potro",9,"ARG","Kei Nishikori",19,"JPN","63 763 61","Round of 32",2012,"Argentina","Japan",,
"Mikhail Youzhny",26,"RUS","Janko Tipsarevic",8,"SRB","63 64 36 63","Round of 32",2012,"Russia","Serbia",,
"David Ferrer",7,"ESP","Andy Roddick",30,"USA","26 768 64 63","Round of 32",2012,"Spain","United States",,
"Jo-Wilfried Tsonga",5,"FRA","Lukas Lacko",,"SVK","64 63 63","Round of 32",2012,"France","Slovakia",,
"Andy Murray",4,"GBR","Marcos Baghdatis",,"CYP","75 36 75 61","Round of 32",2012,"Great Britain","Cyprus",,
"Roger Federer",3,"SUI","Julien Benneteau",29,"FRA","46 673 62 766 61","Round of 32",2012,"Switzerland","France",,
"Novak Djokovic",1,"SRB","Radek Stepanek",28,"CZE","46 62 62 62","Round of 32",2012,"Serbia","Czech Republic",,
"Philipp Kohlschreiber",27,"GER","Brian Baker",,"USA","61 764 63","Round of 16",2012,"Germany","United States",,"qualifier"
"Mikhail Youzhny",26,"RUS","Denis Istomin",,"UZB","63 57 64 675 75","Round of 16",2012,"Russia","Uzbekistan",,
"Florian Mayer",31,"GER","Richard Gasquet",18,"FRA","63 61 36 62","Round of 16",2012,"Germany","France",,
"David Ferrer",7,"ESP","Juan Martin Del Potro",9,"ARG","63 62 63","Round of 16",2012,"Spain","Argentina",,
"Jo-Wilfried Tsonga",5,"FRA","Mardy Fish",10,"USA","46 764 64 64","Round of 16",2012,"France","United States",,
"Andy Murray",4,"GBR","Marin Cilic",16,"CRO","75 62 63","Round of 16",2012,"Great Britain","Croatia",,
"Roger Federer",3,"SUI","Xavier Malisse",,"BEL","761 61 46 63","Round of 16",2012,"Switzerland","Belgium",,
"Novak Djokovic",1,"SRB","Viktor Troicki",,"SRB","63 61 63","Round of 16",2012,"Serbia","Serbia",,
"Jo-Wilfried Tsonga",5,"FRA","Philipp Kohlschreiber",27,"GER","765 46 763 62","Quarter-Finals",2012,"France","Germany",,
"Andy Murray",4,"GBR","David Ferrer",7,"ESP","675 766 64 764","Quarter-Finals",2012,"Great Britain","Spain",,
"Roger Federer",3,"SUI","Mikhail Youzhny",26,"RUS","61 62 62","Quarter-Finals",2012,"Switzerland","Russia",,
"Novak Djokovic",1,"SRB","Florian Mayer",31,"GER","64 61 64","Quarter-Finals",2012,"Serbia","Germany",,
"Andy Murray",4,"GBR","Jo-Wilfried Tsonga",5,"FRA","63 64 36 75","Semi-Finals",2012,"Great Britain","France",,
"Roger Federer",3,"SUI","Novak Djokovic",1,"SRB","63 36 64 63","Semi-Finals",2012,"Switzerland","Serbia",,
"Roger Federer",3,"SUI","Andy Murray",4,"GBR","46 75 63 64","Finals",2012,"Switzerland","Great Britain",,
"Grega Zemlja",,"SLO","Lukas Lacko",,"SVK","64 36 768 64","Round of 128",2011,"Slovenia","Slovakia","lucky loser","qualifier"
"Dmitry Tursunov",,"RUS","Ernests Gulbis",,"LAT","63 36 7612 761","Round of 128",2011,"Russia","Latvia",,
"Ryan Sweeting",,"USA","Pablo Andujar",,"ESP","36 46 61 761 61","Round of 128",2011,"United States","Spain",,
"Sergiy Stakhovsky",,"UKR","Daniel Cox",,"GBR","62 64 64","Round of 128",2011,"Ukraine","Great Britain",,"wildcard"
"Andreas Seppi",,"ITA","Albert Montanes",,"ESP","64 64 75","Round of 128",2011,"Italy","Spain",,
"Dudi Sela",,"ISR","Frederico Gil",,"POR","64 61 64","Round of 128",2011,"Israel","Portugal","wildcard",
"Olivier Rochus",,"BEL","Kenny De Schepper",,"FRA","676 36 63 61 64","Round of 128",2011,"Belgium","France",,"qualifier"
"Gilles Muller",,"LUX","Tommy Haas",,"GER","765 763 36 63","Round of 128",2011,"Luxembourg","Germany","wildcard",
"Ricardo Mello",,"BRA","Frank Dancevic",,"CAN","36 36 64 766 62","Round of 128",2011,"Brazil","Canada",,"qualifier"
"Adrian Mannarino",,"FRA","Conor Niland",,"IRL","46 64 767 46 64","Round of 128",2011,"France","Ireland",,"qualifier"
"Xavier Malisse",,"BEL","Mischa Zverev",,"GER","62 63 62","Round of 128",2011,"Belgium","Germany",,
"Yen-Hsun Lu",,"TPE","Tommy Robredo",,"ESP","64 64 61","Round of 128",2011,"Chinese Taipei","Spain",,
"Feliciano Lopez",,"ESP","Michael Berrer",,"GER","64 75 63","Round of 128",2011,"Spain","Germany",,
"Igor Kunitsyn",,"RUS","Igor Sijsling",,"NED","63 64 62","Round of 128",2011,"Russia","Netherlands",,"qualifier"
"Lukasz Kubot",,"POL","Arnaud Clement",,"FRA","64 62 36 57 64","Round of 128",2011,"Poland","France","qualifier","wildcard"
"Tobias Kamke",,"GER","Blaz Kavcic",,"SLO","63 764 57 61","Round of 128",2011,"Germany","Slovenia",,
"Denis Istomin",,"UZB","Philipp Kohlschreiber",,"GER","46 63 63 63","Round of 128",2011,"Uzbekistan","Germany",,
"John Isner",,"USA","Nicolas Mahut",,"FRA","764 62 766","Round of 128",2011,"United States","France",,
"Lleyton Hewitt",,"AUS","Kei Nishikori",,"JPN","61 764 677 63","Round of 128",2011,"Australia","Japan",,
"Ryan Harrison",,"USA","Ivan Dodig",,"CRO","765 60 75","Round of 128",2011,"United States","Croatia","lucky loser",
"Victor Hanescu",,"ROU","Jaroslav Pospisil",,"CZE","64 63 62","Round of 128",2011,"Romania","Czech Republic",,
"Andreas Haider-Maurer",,"AUT","Florent Serra",,"FRA","765 63 63","Round of 128",2011,"Austria","France",,
"Robin Haase",,"NED","Pere Riba",,"ESP","64 64 64","Round of 128",2011,"Netherlands","Spain",,
"Grigor Dimitrov",,"BUL","Cedrik-Marcel Stebe",,"GER","75 75 765","Round of 128",2011,"Bulgaria","Germany",,"qualifier"
"Somdev Devvarman",,"IND","Denis Gremelmayr",,"GER","64 42 (RET)","Round of 128",2011,"India","Germany",,
"Rik De Voest",,"RSA","Ruben Ramirez Hidalgo",,"ESP","62 63 62","Round of 128",2011,"South Africa","Spain","qualifier",
"Simone Bolelli",,"ITA","Martin Fischer",,"AUT","75 64 64","Round of 128",2011,"Italy","Austria","lucky loser","qualifier"
"Alex Bogomolov Jr.",,"RUS","Donald Young",,"USA","75 46 63 61","Round of 128",2011,"Russia","United States",,
"Julien Benneteau",,"FRA","Ruben Bemelmans",,"BEL","64 62 36 46 61","Round of 128",2011,"France","Belgium",,"qualifier"
"Karol Beck",,"SVK","Carlos Berlocq",,"ARG","46 766 46 62 64","Round of 128",2011,"Slovakia","Argentina","qualifier",
"Igor Andreev",,"RUS","Teymuraz Gabashvili",,"RUS","64 765 674 46 63","Round of 128",2011,"Russia","Russia",,
"Kevin Anderson",,"RSA","Illya Marchenko",,"UKR","675 767 64 46 61","Round of 128",2011,"South Africa","Ukraine",,
"Marcos Baghdatis",32,"CYP","James Blake",,"USA","64 62 675 46 64","Round of 128",2011,"Cyprus","United States",,
"Milos Raonic",31,"CAN","Marc Gicquel",,"FRA","63 763 63","Round of 128",2011,"Canada","France",,"lucky loser"
"Rainer Schuettler",,"GER","Thomaz Bellucci",30,"BRA","763 64 62","Round of 128",2011,"Germany","Brazil",,
"Bernard Tomic",,"AUS","Nikolay Davydenko",29,"RUS","75 63 75","Round of 128",2011,"Australia","Russia","qualifier",
"David Nalbandian",28,"ARG","Julian Reister",,"GER","75 62 63","Round of 128",2011,"Argentina","Germany",,
"Ivan Ljubicic",,"CRO","Marin Cilic",27,"CRO","762 36 63 64","Round of 128",2011,"Croatia","Croatia",,
"Guillermo Garcia-Lopez",26,"ESP","Andrey Golubev",,"KAZ","63 63 (RET)","Round of 128",2011,"Spain","Kazakhstan",,
"Juan Ignacio Chela",25,"ARG","Marinko Matosevic",,"AUS","64 64 676 62","Round of 128",2011,"Argentina","Australia",,"qualifier"
"Juan Martin Del Potro",24,"ARG","Flavio Cipolla",,"ITA","61 64 63","Round of 128",2011,"Argentina","Italy",,"qualifier"
"Ivo Karlovic",,"CRO","Janko Tipsarevic",23,"SRB","75 31 (RET)","Round of 128",2011,"Croatia","Serbia",,
"Fernando Gonzalez",,"CHI","Alexandr Dolgopolov",22,"UKR","63 676 763 64","Round of 128",2011,"Chile","Ukraine",,
"Fernando Verdasco",21,"ESP","Radek Stepanek",,"CZE","26 46 63 766 97","Round of 128",2011,"Spain","Czech Republic",,
"Florian Mayer",20,"GER","Daniel Evans",,"GBR","765 761 36 64","Round of 128",2011,"Germany","Great Britain",,"wildcard"
"Michael Llodra",19,"FRA","James Ward",,"GBR","63 764 63","Round of 128",2011,"France","Great Britain",,"wildcard"
"Mikhail Youzhny",18,"RUS","Juan Monaco",,"ARG","46 62 62 46 64","Round of 128",2011,"Russia","Argentina",,
"Richard Gasquet",17,"FRA","Santiago Giraldo",,"COL","75 63 763","Round of 128",2011,"France","Colombia",,
"Nicolas Almagro",16,"ESP","Jarkko Nieminen",,"FIN","675 63 64 64","Round of 128",2011,"Spain","Finland",,
"Gilles Simon",15,"FRA","Edouard Roger-Vasselin",,"FRA","46 64 63 763","Round of 128",2011,"France","France",,"qualifier"
"Stan Wawrinka",14,"SUI","Potito Starace",,"ITA","63 64 64","Round of 128",2011,"Switzerland","Italy",,
"Viktor Troicki",13,"SRB","Maximo Gonzalez",,"ARG","36 60 763 63","Round of 128",2011,"Serbia","Argentina",,
"Jo-Wilfried Tsonga",12,"FRA","Go Soeda",,"JPN","63 764 62","Round of 128",2011,"France","Japan",,"lucky loser"
"Jurgen Melzer",11,"AUT","Alejandro Falla",,"COL","36 765 62 62","Round of 128",2011,"Austria","Colombia",,"wildcard"
"Mardy Fish",10,"USA","Marcel Granollers",,"ESP","763 765 64","Round of 128",2011,"United States","Spain",,
"Gael Monfils",9,"FRA","Matthias Bachinger",,"GER","64 763 63","Round of 128",2011,"France","Germany",,
"Andy Roddick",8,"USA","Andreas Beck",,"GER","64 766 63","Round of 128",2011,"United States","Germany",,"qualifier"
"David Ferrer",7,"ESP","Benoit Paire",,"FRA","64 64 64","Round of 128",2011,"Spain","France",,
"Tomas Berdych",6,"CZE","Filippo Volandri",,"ITA","62 62 61","Round of 128",2011,"Czech Republic","Italy",,
"Robin Soderling",5,"SWE","Philipp Petzschner",,"GER","64 64 26 765","Round of 128",2011,"Sweden","Germany",,
"Andy Murray",4,"GBR","Daniel Gimeno-Traver",,"ESP","46 63 60 60","Round of 128",2011,"Great Britain","Spain",,
"Roger Federer",3,"SUI","Mikhail Kukushkin",,"KAZ","762 64 62","Round of 128",2011,"Switzerland","Kazakhstan",,
"Novak Djokovic",2,"SRB","Jeremy Chardy",,"FRA","64 61 61","Round of 128",2011,"Serbia","France",,
"Rafael Nadal",1,"ESP","Michael Russell",,"USA","64 62 62","Round of 128",2011,"Spain","United States",,
